shape,batch,seq_len,block_dim,jit_time_us,jit_tflops,jit_tflops_normalized,jit_bandwidth_tb_s
b1_h32_kv8_s128_bs128_fp16,1,128,24,87.874,0.024144,0.579465,0.006153
b1_h32_kv8_s512_bs128_fp16,1,512,24,89.535,0.094788,2.274908,0.023606
b1_h32_kv8_s4096_bs128_fp16,1,4096,24,168.502,0.402933,9.670399,0.099665
b1_h32_kv8_s8192_bs128_fp16,1,8192,24,240.923,0.563627,13.527042,0.139344
b1_h32_kv8_s16384_bs128_fp16,1,16384,24,398.383,0.681709,16.361015,0.168496
b1_h32_kv8_s32768_bs128_fp16,1,32768,24,978.261,0.555233,13.325583,0.137218
b1_h32_kv8_s65536_bs128_fp16,1,65536,24,1951.201,0.556747,13.361919,0.137584
b1_h32_kv8_s131072_bs128_fp16,1,131072,24,3803.354,0.571246,13.709896,0.141163
b2_h32_kv8_s128_bs128_fp16,2,128,24,90.418,0.046930,1.126323,0.011959
b2_h32_kv8_s512_bs128_fp16,2,512,24,98.604,0.172141,4.131378,0.042870
b2_h32_kv8_s4096_bs128_fp16,2,4096,24,415.831,0.326552,7.837246,0.080772
b2_h32_kv8_s8192_bs128_fp16,2,8192,24,604.949,0.448932,10.774368,0.110988
b2_h32_kv8_s16384_bs128_fp16,2,16384,24,1097.693,0.494822,11.875717,0.122303
b2_h32_kv8_s32768_bs128_fp16,2,32768,24,1994.954,0.544536,13.068868,0.134575
b2_h32_kv8_s65536_bs128_fp16,2,65536,24,3930.775,0.552728,13.265473,0.136591
b2_h32_kv8_s131072_bs128_fp16,2,131072,24,7573.238,0.573770,13.770487,0.141786
b4_h32_kv8_s128_bs128_fp16,4,128,24,102.637,0.082686,1.984471,0.021071
b4_h32_kv8_s512_bs128_fp16,4,512,24,178.652,0.190019,4.560462,0.047322
b4_h32_kv8_s4096_bs128_fp16,4,4096,24,649.817,0.417935,10.030430,0.103375
b4_h32_kv8_s8192_bs128_fp16,4,8192,24,1188.994,0.456825,10.963802,0.112939
b4_h32_kv8_s16384_bs128_fp16,4,16384,24,2250.998,0.482597,11.582322,0.119282
b4_h32_kv8_s32768_bs128_fp16,4,32768,24,4035.946,0.538325,12.919792,0.133040
b4_h32_kv8_s65536_bs128_fp16,4,65536,24,7843.768,0.553981,13.295545,0.136900
b4_h32_kv8_s131072_bs128_fp16,4,131072,24,15128.157,0.574465,13.787162,0.141958
b8_h32_kv8_s128_bs128_fp16,8,128,24,131.724,0.128855,3.092514,0.032837
b8_h32_kv8_s512_bs128_fp16,8,512,24,313.176,0.216794,5.203057,0.053990
b8_h32_kv8_s4096_bs128_fp16,8,4096,24,1255.606,0.432590,10.382149,0.107000
b8_h32_kv8_s8192_bs128_fp16,8,8192,24,2409.018,0.450941,10.822575,0.111485
b8_h32_kv8_s16384_bs128_fp16,8,16384,24,4508.445,0.481907,11.565757,0.119111
b8_h32_kv8_s32768_bs128_fp16,8,32768,24,8050.629,0.539746,12.953915,0.133391
b8_h32_kv8_s65536_bs128_fp16,8,65536,24,15654.139,0.555163,13.323910,0.137193
b8_h32_kv8_s131072_bs128_fp16,8,131072,24,30224.053,0.575078,13.801878,0.142110
b32_h32_kv8_s128_bs128_fp16,32,128,24,320.484,0.211846,5.084310,0.053986
b32_h32_kv8_s512_bs128_fp16,32,512,24,1178.067,0.230529,5.532708,0.057411
b32_h32_kv8_s4096_bs128_fp16,32,4096,24,4873.146,0.445841,10.700180,0.110278
b32_h32_kv8_s8192_bs128_fp16,32,8192,24,9189.359,0.472862,11.348684,0.116904
b32_h32_kv8_s16384_bs128_fp16,32,16384,24,16984.553,0.511676,12.280235,0.126469
b32_h32_kv8_s32768_bs128_fp16,32,32768,24,32105.195,0.541383,12.993182,0.133795
b32_h32_kv8_s65536_bs128_fp16,32,65536,24,62518.560,0.556033,13.344795,0.137408
b32_h32_kv8_s131072_bs128_fp16,32,131072,24,120877.070,0.575169,13.804063,0.142132
b64_h32_kv8_s128_bs128_fp16,64,128,24,623.902,0.217641,5.223378,0.055463
b64_h32_kv8_s512_bs128_fp16,64,512,24,2347.693,0.231358,5.552600,0.057617
b64_h32_kv8_s4096_bs128_fp16,64,4096,24,9557.462,0.454649,10.911587,0.112456
b64_h32_kv8_s8192_bs128_fp16,64,8192,24,18191.545,0.477727,11.465450,0.118107
b64_h32_kv8_s16384_bs128_fp16,64,16384,24,33495.959,0.518904,12.453699,0.128256
b64_h32_kv8_s32768_bs128_fp16,64,32768,24,64253.291,0.541021,12.984507,0.133706
b64_h32_kv8_s65536_bs128_fp16,64,65536,24,125117.178,0.555677,13.336256,0.137320
b64_h32_kv8_s131072_bs128_fp16,64,131072,24,241710.273,0.575274,13.806569,0.142158
