op,dtype,cols,slope,bias
TADDS,fp32,32,0.0156,25
TADDS,fp32,48,0.0164,21
TADDS,fp32,64,0.0156,25
TADDS,fp32,80,0.0156,42
TADDS,fp32,96,0.0156,42
TADDS,fp32,112,0.0156,42
TADDS,fp32,128,0.0169,16.5
TADDS,fp32,176,0.0156,42
TADDS,fp32,336,0.0156,42
TADDS,fp16,32,0.0078,25
TADDS,fp16,64,0.0078,25
TADDS,fp16,96,0.0078,25
TADDS,fp16,128,0.0078,25
TADDS,fp16,144,0.0078,42
TADDS,fp16,160,0.0078,42
TADDS,fp16,192,0.0078,42
TADDS,fp16,208,0.0078,42
TADDS,fp16,240,0.0078,42
TADDS,fp16,272,0.0078,42
TADDS,fp16,464,0.0078,42
TADDS,fp16,496,0.0078,42
TADDS,fp16,592,0.0078,42
TADDS,fp16,1008,0.0078,42
TCOLMAX,fp32,8,2.125,24
TCOLMAX,fp32,32,0.5391,16
TCOLMAX,fp32,64,0.2734,17
TCOLMAX,fp32,96,0.3646,2
TCOLMAX,fp32,128,0.1571,10
TCOLMAX,fp16,32,0.5352,16
TCOLMAX,fp16,64,0.2695,16
TCOLMAX,fp16,96,0.1836,19
TCOLMAX,fp16,128,0.1367,17
TCOLMAX,fp16,160,0.2187,2
TCOLMAX,fp16,192,0.1823,2.3325
TCOLSUM,fp32,8,2.375,29
TCOLSUM,fp32,16,1.1958,18.271
TCOLSUM,fp32,32,0.6016,15
TCOLSUM,fp32,64,0.3047,15
TCOLSUM,fp32,96,0.2187,14
TCOLSUM,fp32,128,0.1728,8
TCOLSUM,fp32,144,0.1578,27
TCOLSUM,fp32,176,0.1314,30
TCOLSUM,fp32,208,0.1166,36
TCOLSUM,fp32,240,0.1031,36
TCOLSUM,fp32,272,0.096,35
TCOLSUM,fp32,304,0.0876,35
TCOLSUM,fp32,336,0.0833,34
TCOLSUM,fp16,16,1.1916,20.664
TCOLSUM,fp16,32,0.5977,15
TCOLSUM,fp16,64,0.3008,15
TCOLSUM,fp16,96,0.2044,15
TCOLSUM,fp16,128,0.1523,15
TCOLSUM,fp16,160,0.1312,14
TCOLSUM,fp16,208,0.1029,25
TCOLSUM,fp16,240,0.09,28
TCOLSUM,fp16,272,0.0838,27
TCOLSUM,fp16,304,0.0755,30
TCOLSUM,fp16,336,0.069,30
TCOLSUM,fp16,368,0.069,30
