op,src_dtype,dst_dtype,shape_path,vf_impl_kind,tail_kind,op_params,formula_kind,param0,param1,param2,param3
TADD,fp16,none,1D,NO_POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TADD,fp16,none,1D,NO_POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TADD,fp16,none,1D,POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TADD,fp16,none,1D,POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TADD,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp16,none,2D,POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp16,none,2D,POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TADD,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TADD,fp32,none,1D,POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TADD,fp32,none,1D,POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TADD,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TDIVS,fp16,none,1D,NO_POST_UPDATE,full,,linear,3.5491803,68.737705,0,0
TDIVS,fp16,none,1D,NO_POST_UPDATE,tail,,linear,3.5491803,68.737705,0,0
TDIVS,fp16,none,1D,POST_UPDATE,full,,linear,3.5491803,68.737705,0,0
TDIVS,fp16,none,1D,POST_UPDATE,tail,,linear,3.5491803,68.737705,0,0
TDIVS,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,3.9981682,-0.12080507,65.159204,0
TDIVS,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,3.9981682,-0.12080507,65.159204,0
TDIVS,fp16,none,2D,POST_UPDATE,full,,nested_loop,3.9981682,-0.12080507,65.159204,0
TDIVS,fp16,none,2D,POST_UPDATE,tail,,nested_loop,3.9981682,-0.12080507,65.159204,0
TDIVS,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.9081456,64.516464,0,0
TDIVS,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.9081456,64.516464,0,0
TDIVS,fp32,none,1D,POST_UPDATE,full,,linear,1.9081456,64.516464,0,0
TDIVS,fp32,none,1D,POST_UPDATE,tail,,linear,1.9081456,64.516464,0,0
